Region,Crude_Yearly_Average,Elec_Yearly_Average,NG_Yearly_Average,Dwelling_Type,Energy_Consumption,Yearly_GHG_Emission
Alberta,1004.625299,73022.00516,587.9398955,Single-detached,136358699,257744
Alberta,1004.625299,73022.00516,587.9398955,Double,0,257744
Alberta,1004.625299,73022.00516,587.9398955,Row or terrace,8797545,257744
Alberta,1004.625299,73022.00516,587.9398955,Duplex,4712961,257744
Alberta,1004.625299,73022.00516,587.9398955,Low-rise apartment (fewer than 5 stories),3224525,257744
Alberta,1004.625299,73022.00516,587.9398955,High-rise apartment (5 stories or more),0,257744
Alberta,1004.625299,73022.00516,587.9398955,Mobile home,0,257744
Alberta,1152.087997,78036.09259,549.7138208,Single-detached,167696175,275172
Alberta,1152.087997,78036.09259,549.7138208,Double,0,275172
Alberta,1152.087997,78036.09259,549.7138208,Row or terrace,0,275172
Alberta,1152.087997,78036.09259,549.7138208,Duplex,0,275172
Alberta,1152.087997,78036.09259,549.7138208,Low-rise apartment (fewer than 5 stories),7956632,275172
Alberta,1152.087997,78036.09259,549.7138208,High-rise apartment (5 stories or more),0,275172
Alberta,1152.087997,78036.09259,549.7138208,Mobile home,0,275172
Alberta,1303.938869,80733.2953,585.1796391,Single-detached,136910265,278925
Alberta,1303.938869,80733.2953,585.1796391,Double,0,278925
Alberta,1303.938869,80733.2953,585.1796391,Row or terrace,5992319,278925
Alberta,1303.938869,80733.2953,585.1796391,Duplex,0,278925
Alberta,1303.938869,80733.2953,585.1796391,Low-rise apartment (fewer than 5 stories),9420853,278925
Alberta,1303.938869,80733.2953,585.1796391,High-rise apartment (5 stories or more),0,278925
Alberta,1303.938869,80733.2953,585.1796391,Mobile home,0,278925
Alberta,1628.220711,76123.10937,574.8095551,Single-detached,152235617,278980
Alberta,1628.220711,76123.10937,574.8095551,Double,0,278980
Alberta,1628.220711,76123.10937,574.8095551,Row or terrace,10653778,278980
Alberta,1628.220711,76123.10937,574.8095551,Duplex,13969858,278980
Alberta,1628.220711,76123.10937,574.8095551,Low-rise apartment (fewer than 5 stories),13294194,278980
Alberta,1628.220711,76123.10937,574.8095551,High-rise apartment (5 stories or more),0,278980
Alberta,1628.220711,76123.10937,574.8095551,Mobile home,0,278980
British Columbia,11.79523362,68674.24538,194.8069018,Single-detached,122095743,77711
British Columbia,11.79523362,68674.24538,194.8069018,Double,0,77711
British Columbia,11.79523362,68674.24538,194.8069018,Row or terrace,12326328,77711
British Columbia,11.79523362,68674.24538,194.8069018,Duplex,4357463,77711
British Columbia,11.79523362,68674.24538,194.8069018,Low-rise apartment (fewer than 5 stories),13418389,77711
British Columbia,11.79523362,68674.24538,194.8069018,High-rise apartment (5 stories or more),0,77711
British Columbia,11.79523362,68674.24538,194.8069018,Mobile home,0,77711
British Columbia,14.53227061,65157.505,211.8232454,Single-detached,120838884,79503
British Columbia,14.53227061,65157.505,211.8232454,Double,0,79503
British Columbia,14.53227061,65157.505,211.8232454,Row or terrace,11198344,79503
British Columbia,14.53227061,65157.505,211.8232454,Duplex,0,79503
British Columbia,14.53227061,65157.505,211.8232454,Low-rise apartment (fewer than 5 stories),13796735,79503
British Columbia,14.53227061,65157.505,211.8232454,High-rise apartment (5 stories or more),4744560,79503
British Columbia,14.53227061,65157.505,211.8232454,Mobile home,3209198,79503
British Columbia,19.46890925,71424.02956,237.4576706,Single-detached,92776844,80171
British Columbia,19.46890925,71424.02956,237.4576706,Double,0,80171
British Columbia,19.46890925,71424.02956,237.4576706,Row or terrace,0,80171
British Columbia,19.46890925,71424.02956,237.4576706,Duplex,2755072,80171
British Columbia,19.46890925,71424.02956,237.4576706,Low-rise apartment (fewer than 5 stories),20724051,80171
British Columbia,19.46890925,71424.02956,237.4576706,High-rise apartment (5 stories or more),9178897,80171
British Columbia,19.46890925,71424.02956,237.4576706,Mobile home,0,80171
British Columbia,35.06349285,64333.8121,291.424603,Single-detached,124720132,83628
British Columbia,35.06349285,64333.8121,291.424603,Double,0,83628
British Columbia,35.06349285,64333.8121,291.424603,Row or terrace,10260877,83628
British Columbia,35.06349285,64333.8121,291.424603,Duplex,5086484,83628
British Columbia,35.06349285,64333.8121,291.424603,Low-rise apartment (fewer than 5 stories),13106354,83628
British Columbia,35.06349285,64333.8121,291.424603,High-rise apartment (5 stories or more),5646177,83628
British Columbia,35.06349285,64333.8121,291.424603,Mobile home,0,83628
Canada,1257.348616,614235.6797,412.9458923,Single-detached,944421514,752619
Canada,1257.348616,614235.6797,412.9458923,Double,40940682,752619
Canada,1257.348616,614235.6797,412.9458923,Row or terrace,64640092,752619
Canada,1257.348616,614235.6797,412.9458923,Duplex,36935169,752619
Canada,1257.348616,614235.6797,412.9458923,Low-rise apartment (fewer than 5 stories),78653107,752619
Canada,1257.348616,614235.6797,412.9458923,High-rise apartment (5 stories or more),45471160,752619
Canada,1257.348616,614235.6797,412.9458923,Mobile home,13889109,752619
Canada,1415.571701,642158.1963,398.3425598,Single-detached,968383789,762820
Canada,1415.571701,642158.1963,398.3425598,Double,41896177,762820
Canada,1415.571701,642158.1963,398.3425598,Row or terrace,65115054,762820
Canada,1415.571701,642158.1963,398.3425598,Duplex,67501070,762820
Canada,1415.571701,642158.1963,398.3425598,Low-rise apartment (fewer than 5 stories),97353476,762820
Canada,1415.571701,642158.1963,398.3425598,High-rise apartment (5 stories or more),54740013,762820
Canada,1415.571701,642158.1963,398.3425598,Mobile home,10996267,762820
Canada,1552.947071,639278.0718,429.7342224,Single-detached,917854816,766744
Canada,1552.947071,639278.0718,429.7342224,Double,55596718,766744
Canada,1552.947071,639278.0718,429.7342224,Row or terrace,64455291,766744
Canada,1552.947071,639278.0718,429.7342224,Duplex,44807930,766744
Canada,1552.947071,639278.0718,429.7342224,Low-rise apartment (fewer than 5 stories),96194901,766744
Canada,1552.947071,639278.0718,429.7342224,High-rise apartment (5 stories or more),44967901,766744
Canada,1552.947071,639278.0718,429.7342224,Mobile home,9661935,766744
Canada,1920.472549,632207.5823,444.7718506,Single-detached,983640353,771813
Canada,1920.472549,632207.5823,444.7718506,Double,57025754,771813
Canada,1920.472549,632207.5823,444.7718506,Row or terrace,64046802,771813
Canada,1920.472549,632207.5823,444.7718506,Duplex,49224269,771813
Canada,1920.472549,632207.5823,444.7718506,Low-rise apartment (fewer than 5 stories),87878217,771813
Canada,1920.472549,632207.5823,444.7718506,High-rise apartment (5 stories or more),59086764,771813
Canada,1920.472549,632207.5823,444.7718506,Mobile home,14996903,771813
Nova Scotia,1.720029831,11588.63196,7.172319412,Single-detached,20280877,22821
Nova Scotia,1.720029831,11588.63196,7.172319412,Double,0,22821
Nova Scotia,1.720029831,11588.63196,7.172319412,Row or terrace,0,22821
Nova Scotia,1.720029831,11588.63196,7.172319412,Duplex,1220110,22821
Nova Scotia,1.720029831,11588.63196,7.172319412,Low-rise apartment (fewer than 5 stories),4076850,22821
Nova Scotia,1.720029831,11588.63196,7.172319412,High-rise apartment (5 stories or more),0,22821
Nova Scotia,1.720029831,11588.63196,7.172319412,Mobile home,0,22821
Nova Scotia,0.653814912,10754.67242,4.854971886,Single-detached,25860065,19143
Nova Scotia,0.653814912,10754.67242,4.854971886,Double,0,19143
Nova Scotia,0.653814912,10754.67242,4.854971886,Row or terrace,0,19143
Nova Scotia,0.653814912,10754.67242,4.854971886,Duplex,0,19143
Nova Scotia,0.653814912,10754.67242,4.854971886,Low-rise apartment (fewer than 5 stories),1994781,19143
Nova Scotia,0.653814912,10754.67242,4.854971886,High-rise apartment (5 stories or more),0,19143
Nova Scotia,0.653814912,10754.67242,4.854971886,Mobile home,0,19143
Nova Scotia,0.876164377,10185.71774,5.48115921,Single-detached,27441400,17797
Nova Scotia,0.876164377,10185.71774,5.48115921,Double,0,17797
Nova Scotia,0.876164377,10185.71774,5.48115921,Row or terrace,0,17797
Nova Scotia,0.876164377,10185.71774,5.48115921,Duplex,0,17797
Nova Scotia,0.876164377,10185.71774,5.48115921,Low-rise apartment (fewer than 5 stories),2718168,17797
Nova Scotia,0.876164377,10185.71774,5.48115921,High-rise apartment (5 stories or more),0,17797
Nova Scotia,0.876164377,10185.71774,5.48115921,Mobile home,0,17797
Nova Scotia,0,9659.517792,0,Single-detached,21600047,17027
Nova Scotia,0,9659.517792,0,Double,0,17027
Nova Scotia,0,9659.517792,0,Row or terrace,0,17027
Nova Scotia,0,9659.517792,0,Duplex,0,17027
Nova Scotia,0,9659.517792,0,Low-rise apartment (fewer than 5 stories),2417828,17027
Nova Scotia,0,9659.517792,0,High-rise apartment (5 stories or more),0,17027
Nova Scotia,0,9659.517792,0,Mobile home,0,17027
Ontario,0.439999253,153235.4833,0.431817144,Single-detached,396846346,180018
Ontario,0.439999253,153235.4833,0.431817144,Double,23451542,180018
Ontario,0.439999253,153235.4833,0.431817144,Row or terrace,29382709,180018
Ontario,0.439999253,153235.4833,0.431817144,Duplex,4787621,180018
Ontario,0.439999253,153235.4833,0.431817144,Low-rise apartment (fewer than 5 stories),17370989,180018
Ontario,0.439999253,153235.4833,0.431817144,High-rise apartment (5 stories or more),22512222,180018
Ontario,0.439999253,153235.4833,0.431817144,Mobile home,0,180018
Ontario,0.399999321,159438.8858,0.348117948,Single-detached,367977386,173173
Ontario,0.399999321,159438.8858,0.348117948,Double,22410823,173173
Ontario,0.399999321,159438.8858,0.348117948,Row or terrace,39367270,173173
Ontario,0.399999321,159438.8858,0.348117948,Duplex,17026605,173173
Ontario,0.399999321,159438.8858,0.348117948,Low-rise apartment (fewer than 5 stories),19221618,173173
Ontario,0.399999321,159438.8858,0.348117948,High-rise apartment (5 stories or more),30955892,173173
Ontario,0.399999321,159438.8858,0.348117948,Mobile home,651268,173173
Ontario,0.314767241,157445.9442,0.307122797,Single-detached,383909269,168636
Ontario,0.314767241,157445.9442,0.307122797,Double,24950116,168636
Ontario,0.314767241,157445.9442,0.307122797,Row or terrace,37091793,168636
Ontario,0.314767241,157445.9442,0.307122797,Duplex,12357233,168636
Ontario,0.314767241,157445.9442,0.307122797,Low-rise apartment (fewer than 5 stories),17445415,168636
Ontario,0.314767241,157445.9442,0.307122797,High-rise apartment (5 stories or more),21119929,168636
Ontario,0.314767241,157445.9442,0.307122797,Mobile home,0,168636
Ontario,0.163999721,152951.7591,0.228662238,Single-detached,398563202,170001
Ontario,0.163999721,152951.7591,0.228662238,Double,31779171,170001
Ontario,0.163999721,152951.7591,0.228662238,Row or terrace,31858022,170001
